player_name,espn_name,position,transaction_type,team,from_team,to_team,date,fantasy_impact,impact_note,boost,in_database,raw_description
John Jiles,John Jiles,WR,TRADED,NE,NYG,NE,2026-09-05,LOW,Joined NE — depth role,2,True,Team changed: NYG (2024 depth #10) → NE (2025 depth #8)
Donovan Peoples-Jones,Donovan Peoples-Jones,WR,TRADED,NO,DET,NO,2026-09-05,LOW,Joined NO — depth role,2,True,Team changed: DET (2024 depth #7) → NO (2025 depth #6)
Cam Akers,Cam Akers,RB,TRADED,NO,HOU,NO,2026-09-05,LOW,Joined NO — depth role,2,True,Team changed: HOU (2024 depth #6) → NO (2025 depth #4)
Velus Jones,Velus Jones,RB,TRADED,NO,CHI,NO,2026-09-05,LOW,Joined NO — depth role,2,True,Team changed: CHI (2024 depth #7) → NO (2025 depth #5)
Brandin Cooks,Brandin Cooks,WR,TRADED,NO,DAL,NO,2026-09-05,LOW,Joined NO — depth role,2,True,Team changed: DAL (2024 depth #7) → NO (2025 depth #3)
Treyton Welch,Treyton Welch,TE,TRADED,NO,CLE,NO,2026-09-05,LOW,Joined NO — depth role,2,True,Team changed: CLE (2024 depth #5) → NO (2025 depth #8)
Greg Dulcich,Greg Dulcich,TE,TRADED,NYG,DEN,NYG,2026-09-05,LOW,Joined NYG — depth role,2,True,Team changed: DEN (2024 depth #2) → NYG (2025 depth #5)
Cole Fotheringham,Cole Fotheringham,TE,TRADED,NE,LV,NE,2026-09-05,LOW,Joined NE — depth role,2,True,Team changed: LV (2024 depth #5) → NE (2025 depth #8)
Robert Woods,Robert Woods,WR,TRADED,PIT,HOU,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: HOU (2024 depth #7) → PIT (2025 depth #5)
Nick Muse,Nick Muse,TE,TRADED,PHI,MIN,PHI,2026-09-05,LOW,Joined PHI — depth role,2,True,Team changed: MIN (2024 depth #4) → PHI (2025 depth #5)
Andy Isabella,Andy Isabella,WR,TRADED,SF,BUF,SF,2026-09-05,LOW,Joined SF — depth role,2,True,Team changed: BUF (2024 depth #12) → SF (2025 depth #13)
Michael Pratt,Michael Pratt,QB,TRADED,TB,GB,TB,2026-09-05,LOW,Joined TB — depth role,2,True,Team changed: GB (2024 depth #3) → TB (2025 depth #3)
Owen Wright,Owen Wright,RB,TRADED,TB,BAL,TB,2026-09-05,LOW,Joined TB — depth role,2,True,Team changed: BAL (2024 depth #5) → TB (2025 depth #5)
Dennis Houston,Dennis Houston,WR,TRADED,TB,NYG,TB,2026-09-05,LOW,Joined TB — depth role,2,True,Team changed: NYG (2024 depth #5) → TB (2025 depth #5)
Tim Boyle,Tim Boyle,QB,TRADED,TEN,HOU,TEN,2026-09-05,LOW,Joined TEN — depth role,2,True,Team changed: HOU (2024 depth #4) → TEN (2025 depth #3)
Jordan Mims,Jordan Mims,RB,TRADED,TEN,NO,TEN,2026-09-05,LOW,Joined TEN — depth role,2,True,Team changed: NO (2024 depth #4) → TEN (2025 depth #5)
Jermar Jefferson,Jermar Jefferson,RB,TRADED,TEN,DET,TEN,2026-09-05,LOW,Joined TEN — depth role,2,True,Team changed: DET (2024 depth #5) → TEN (2025 depth #6)
James Proche,James Proche Ii,WR,TRADED,TEN,CLE,TEN,2026-09-05,LOW,Joined TEN — depth role,2,True,Team changed: CLE (2024 depth #11) → TEN (2025 depth #4)
Isaiah Hodgins,Isaiah Hodgins,WR,TRADED,SF,NYG,SF,2026-09-05,LOW,Joined SF — depth role,2,True,Team changed: NYG (2024 depth #2) → SF (2025 depth #5)
Matt Landers,Matt Landers,WR,TRADED,TEN,CLE,TEN,2026-09-05,LOW,Joined TEN — depth role,2,True,Team changed: CLE (2024 depth #9) → TEN (2025 depth #5)
Tyler Lockett,Tyler Lockett,WR,TRADED,TEN,SEA,TEN,2026-09-05,LOW,Joined TEN — depth role,2,True,Team changed: SEA (2024 depth #7) → TEN (2025 depth #9)
Josh Johnson,Josh Johnson,QB,TRADED,WAS,BAL,WAS,2026-09-05,LOW,Joined WAS — depth role,2,True,Team changed: BAL (2024 depth #2) → WAS (2025 depth #3)
Demetric Felton,Demetric Felton,RB,TRADED,WAS,CHI,WAS,2026-09-05,LOW,Joined WAS — depth role,2,True,Team changed: CHI (2024 depth #6) → WAS (2025 depth #6)
Tyree Jackson,Tyree Jackson,TE,TRADED,WAS,NYG,WAS,2026-09-05,LOW,Joined WAS — depth role,2,True,Team changed: NYG (2024 depth #6) → WAS (2025 depth #5)
Lawrence Cager,Lawrence Cager,TE,TRADED,WAS,NYG,WAS,2026-09-05,LOW,Joined WAS — depth role,2,True,Team changed: NYG (2024 depth #3) → WAS (2025 depth #7)
Chris Moore,Chris Moore,WR,TRADED,WAS,ARZ,WAS,2026-09-05,LOW,Joined WAS — depth role,2,True,Team changed: ARZ (2024 depth #10) → WAS (2025 depth #4)
Tay Martin,Tay Martin,WR,TRADED,WAS,SF,WAS,2026-09-05,LOW,Joined WAS — depth role,2,True,Team changed: SF (2024 depth #10) → WAS (2025 depth #6)
Michael Strachan,Mike Strachan,WR,TRADED,WAS,CAR,WAS,2026-09-05,LOW,Joined WAS — depth role,2,True,Team changed: CAR (2024 depth #3) → WAS (2025 depth #8)
Ramel Keyton,Ramel Keyton,WR,TRADED,TEN,LV,TEN,2026-09-05,LOW,Joined TEN — depth role,2,True,Team changed: LV (2024 depth #9) → TEN (2025 depth #8)
Harrison Bryant,Harrison Bryant,TE,TRADED,PHI,LV,PHI,2026-09-05,LOW,Joined PHI — depth role,2,True,Team changed: LV (2024 depth #3) → PHI (2025 depth #4)
Ross Dwelley,Ross Dwelley,TE,TRADED,SF,ATL,SF,2026-09-05,LOW,Joined SF — depth role,2,True,Team changed: ATL (2024 depth #3) → SF (2025 depth #4)
Carter Bradley,Carter Bradley,QB,TRADED,SF,LV,SF,2026-09-05,LOW,Joined SF — depth role,2,True,Team changed: LV (2024 depth #4) → SF (2025 depth #5)
Cameron Latu,Cameron Latu,TE,TRADED,PHI,SF,PHI,2026-09-05,LOW,Joined PHI — depth role,2,True,Team changed: SF (2024 depth #4) → PHI (2025 depth #7)
Elijah Cooks,Elijah Cooks,WR,TRADED,PHI,JAX,PHI,2026-09-05,LOW,Joined PHI — depth role,2,True,Team changed: JAX (2024 depth #4) → PHI (2025 depth #4)
Jahan Dotson,Jahan Dotson,WR,TRADED,PHI,WAS,PHI,2026-09-05,LOW,Joined PHI — depth role,2,True,Team changed: WAS (2024 depth #6) → PHI (2025 depth #6)
Terrace Marshall,Terrace Marshall,WR,TRADED,PHI,CAR,PHI,2026-09-05,LOW,Joined PHI — depth role,2,True,Team changed: CAR (2024 depth #2) → PHI (2025 depth #7)
Avery Williams,Avery Williams,WR,TRADED,PHI,ATL,PHI,2026-09-05,LOW,Joined PHI — depth role,2,True,Team changed: ATL (2024 depth #4) → PHI (2025 depth #11)
Skylar Thompson,Skylar Thompson,QB,TRADED,PIT,MIA,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: MIA (2024 depth #3) → PIT (2025 depth #4)
Kenneth Gainwell,Kenneth Gainwell,RB,TRADED,PIT,PHI,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: PHI (2024 depth #3) → PIT (2025 depth #3)
Trey Sermon,Trey Sermon,RB,TRADED,PIT,IND,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: IND (2024 depth #2) → PIT (2025 depth #4)
Ameer Abdullah,Ameer Abdullah,RB,TRADED,SF,LV,SF,2026-09-05,LOW,Joined SF — depth role,2,True,Team changed: LV (2024 depth #3) → SF (2025 depth #5)
Evan Hull,Evan Hull,RB,TRADED,PIT,IND,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: IND (2024 depth #3) → PIT (2025 depth #6)
Kevin Foelsch,Kevin Foelsch,TE,TRADED,PIT,NYJ,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: NYJ (2024 depth #7) → PIT (2025 depth #6)
Brandon Johnson,Brandon Johnson,WR,TRADED,PIT,DEN,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: DEN (2024 depth #3) → PIT (2025 depth #7)
Ben Skowronek,Ben Skowronek,WR,TRADED,PIT,HOU,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: HOU (2024 depth #11) → PIT (2025 depth #8)
Lance McCutcheon,Lance Mccutcheon,WR,TRADED,PIT,NYJ,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: NYJ (2024 depth #5) → PIT (2025 depth #9)
Eric Saubert,Eric Saubert,TE,TRADED,SEA,SF,SEA,2026-09-05,LOW,Joined SEA — depth role,2,True,Team changed: SF (2024 depth #6) → SEA (2025 depth #3)
Marquez Valdes-Scantling,Marquez Valdes-Scantling,WR,TRADED,SEA,BUF,SEA,2026-09-05,LOW,Joined SEA — depth role,2,True,Team changed: BUF (2024 depth #10) → SEA (2025 depth #5)
Steven Sims,Steven Sims,WR,TRADED,SEA,HOU,SEA,2026-09-05,LOW,Joined SEA — depth role,2,True,Team changed: HOU (2024 depth #8) → SEA (2025 depth #11)
John Rhys Plumlee,John Rhys Plumlee,WR,TRADED,SEA,PIT,SEA,2026-09-05,LOW,Joined SEA — depth role,2,True,Team changed: PIT (2024 depth #4) → SEA (2025 depth #12)
Lew Nichols,Lew Nichols,RB,TRADED,PIT,PHI,PIT,2026-09-05,LOW,Joined PIT — depth role,2,True,Team changed: PHI (2024 depth #6) → PIT (2025 depth #7)
Nick Westbrook-Ikhine,Nick Westbrook-Ikhine,WR,TRADED,MIA,TEN,MIA,2026-09-05,LOW,Joined MIA — depth role,2,True,Team changed: TEN (2024 depth #3) → MIA (2025 depth #7)
Jason Brownlee,Jason Brownlee,WR,TRADED,KC,NYJ,KC,2026-09-05,LOW,Joined KC — depth role,2,True,Team changed: NYJ (2024 depth #3) → KC (2025 depth #3)
Alexander Mattison,Alexander Mattison,RB,TRADED,MIA,LV,MIA,2026-09-05,LOW,Joined MIA — depth role,2,True,Team changed: LV (2024 depth #2) → MIA (2025 depth #3)
Devin Duvernay,Devin Duvernay,WR,TRADED,CHI,JAX,CHI,2026-09-05,LOW,Joined CHI — depth role,2,True,Team changed: JAX (2024 depth #3) → CHI (2025 depth #3)
Miles Boykin,Miles Boykin,WR,TRADED,CHI,NYG,CHI,2026-09-05,LOW,Joined CHI — depth role,2,True,Team changed: NYG (2024 depth #8) → CHI (2025 depth #4)
Samori Toure,Samori Toure,WR,TRADED,CHI,GB,CHI,2026-09-05,LOW,Joined CHI — depth role,2,True,Team changed: GB (2024 depth #11) → CHI (2025 depth #7)
Olamide Zaccheaus,Olamide Zaccheaus,WR,TRADED,CHI,WAS,CHI,2026-09-05,LOW,Joined CHI — depth role,2,True,Team changed: WAS (2024 depth #10) → CHI (2025 depth #9)
Maurice Alexander,Maurice Alexander,WR,TRADED,CHI,DET,CHI,2026-09-05,LOW,Joined CHI — depth role,2,True,Team changed: DET (2024 depth #8) → CHI (2025 depth #11)
Desmond Ridder,Desmond Ridder,QB,TRADED,CIN,ARZ,CIN,2026-09-05,LOW,Joined CIN — depth role,2,True,Team changed: ARZ (2024 depth #2) → CIN (2025 depth #3)
Kendall Milton,Kendall Milton,RB,TRADED,CIN,PHI,CIN,2026-09-05,LOW,Joined CIN — depth role,2,True,Team changed: PHI (2024 depth #5) → CIN (2025 depth #4)
Isaiah Williams,Isaiah Williams,WR,TRADED,CIN,DET,CIN,2026-09-05,LOW,Joined CIN — depth role,2,True,Team changed: DET (2024 depth #11) → CIN (2025 depth #6)
Mitch Tinsley,Mitchell Tinsley,WR,TRADED,CIN,WAS,CIN,2026-09-05,LOW,Joined CIN — depth role,2,True,Team changed: WAS (2024 depth #3) → CIN (2025 depth #11)
Troy Hairston,Troy Hairston,RB,TRADED,CLE,HOU,CLE,2026-09-05,LOW,Joined CLE — depth role,2,True,Team changed: HOU (2024 depth #9) → CLE (2025 depth #7)
Blake Whiteheart,Blake Whiteheart,TE,TRADED,CLE,ARZ,CLE,2026-09-05,LOW,Joined CLE — depth role,2,True,Team changed: ARZ (2024 depth #5) → CLE (2025 depth #3)
Brenden Bates,Brenden Bates,TE,TRADED,CLE,CHI,CLE,2026-09-05,LOW,Joined CLE — depth role,2,True,Team changed: CHI (2024 depth #6) → CLE (2025 depth #4)
Sal Cannella,Sal Cannella,TE,TRADED,CLE,TB,CLE,2026-09-05,LOW,Joined CLE — depth role,2,True,Team changed: TB (2024 depth #7) → CLE (2025 depth #5)
Kaden Davis,Kaden Davis,WR,TRADED,CLE,DET,CLE,2026-09-05,LOW,Joined CLE — depth role,2,True,Team changed: DET (2024 depth #9) → CLE (2025 depth #4)
Diontae Johnson,Diontae Johnson,WR,TRADED,CLE,CAR,CLE,2026-09-05,LOW,Joined CLE — depth role,2,True,Team changed: CAR (2024 depth #1) → CLE (2025 depth #10)
Bo Melton,Bo Melton,WR,RELEASED,GB,GB,,2026-09-05,LOW,Depth player departed,0,True,Not in 2025 depth chart (was 2024 depth #10 on GB)
Will Grier,Will Grier,QB,TRADED,DAL,PHI,DAL,2026-09-05,LOW,Joined DAL — depth role,2,True,Team changed: PHI (2024 depth #4) → DAL (2025 depth #3)
Deebo Samuel,Deebo Samuel,WR,TRADED,WAS,SF,WAS,2026-09-05,LOW,Joined WAS — depth role,2,True,Team changed: SF (2024 depth #2) → WAS (2025 depth #10)
Joel Wilson,Joel Wilson,TE,TRADED,CHI,GB,CHI,2026-09-05,LOW,Joined CHI — depth role,2,True,Team changed: GB (2024 depth #5) → CHI (2025 depth #5)
Jonathan Mingo,Jonathan Mingo,WR,TRADED,DAL,CAR,DAL,2026-09-05,LOW,Joined DAL — depth role,2,True,Team changed: CAR (2024 depth #6) → DAL (2025 depth #7)
Durham Smythe,Durham Smythe,TE,TRADED,CHI,MIA,CHI,2026-09-05,LOW,Joined CHI — depth role,2,True,Team changed: MIA (2024 depth #2) → CHI (2025 depth #3)
Brycen Tremayne,Brycen Tremayne,WR,TRADED,CAR,WAS,CAR,2026-09-05,LOW,Joined CAR — depth role,2,True,Team changed: WAS (2024 depth #7) → CAR (2025 depth #7)
Anthony Firkser,Anthony Firkser,TE,RELEASED,NYJ,NYJ,,2026-09-05,LOW,Depth player departed,0,True,Not in 2025 depth chart (was 2024 depth #6 on NYJ)
Josiah Deguara,Josiah Deguara,TE,TRADED,ARZ,JAX,ARZ,2026-09-05,LOW,Joined ARZ — depth role,2,True,Team changed: JAX (2024 depth #4) → ARZ (2025 depth #4)
Trishton Jackson,Trishton Jackson,WR,TRADED,ARZ,MIN,ARZ,2026-09-05,LOW,Joined ARZ — depth role,2,True,Team changed: MIN (2024 depth #3) → ARZ (2025 depth #4)
Quez Watkins,Quez Watkins,WR,TRADED,ARZ,PIT,ARZ,2026-09-05,LOW,Joined ARZ — depth role,2,True,Team changed: PIT (2024 depth #9) → ARZ (2025 depth #11)
Emory Jones,Emory Jones,QB,TRADED,ATL,BAL,ATL,2026-09-05,LOW,Joined ATL — depth role,2,True,Team changed: BAL (2024 depth #4) → ATL (2025 depth #4)
Jashaun Corbin,Jashaun Corbin,RB,TRADED,ATL,NYG,ATL,2026-09-05,LOW,Joined ATL — depth role,2,True,Team changed: NYG (2024 depth #4) → ATL (2025 depth #6)
Teagan Quitoriano,Teagan Quitoriano,TE,TRADED,ATL,HOU,ATL,2026-09-05,LOW,Joined ATL — depth role,2,True,Team changed: HOU (2024 depth #4) → ATL (2025 depth #3)
Feleipe Franks,Feleipe Franks,TE,TRADED,ATL,CAR,ATL,2026-09-05,LOW,Joined ATL — depth role,2,True,Team changed: CAR (2024 depth #6) → ATL (2025 depth #4)
David Sills,David Sills,WR,TRADED,ATL,DEN,ATL,2026-09-05,LOW,Joined ATL — depth role,2,True,Team changed: DEN (2024 depth #8) → ATL (2025 depth #5)
Zaire Mitchell-Paden,Zaire Mitchell-Paden,TE,TRADED,BAL,CLE,BAL,2026-09-05,LOW,Joined BAL — depth role,2,True,Team changed: CLE (2024 depth #4) → BAL (2025 depth #4)
Mike White,Mike White,QB,TRADED,BUF,MIA,BUF,2026-09-05,LOW,Joined BUF — depth role,2,True,Team changed: MIA (2024 depth #2) → BUF (2025 depth #3)
Matt Sokol,Matt Sokol,TE,TRADED,BUF,PIT,BUF,2026-09-05,LOW,Joined BUF — depth role,2,True,Team changed: PIT (2024 depth #6) → BUF (2025 depth #6)
Laviska Shenault,Laviska Shenault,WR,TRADED,BUF,SEA,BUF,2026-09-05,LOW,Joined BUF — depth role,2,True,Team changed: SEA (2024 depth #8) → BUF (2025 depth #5)
Elijah Moore,Elijah Moore,WR,TRADED,BUF,CLE,BUF,2026-09-05,LOW,Joined BUF — depth role,2,True,Team changed: CLE (2024 depth #6) → BUF (2025 depth #9)
Kristian Wilkerson,Kristian Wilkerson,WR,TRADED,BUF,LV,BUF,2026-09-05,LOW,Joined BUF — depth role,2,True,Team changed: LV (2024 depth #3) → BUF (2025 depth #11)
Jalen Virgil,Jalen Virgil,WR,TRADED,BUF,DEN,BUF,2026-09-05,LOW,Joined BUF — depth role,2,True,Team changed: DEN (2024 depth #7) → BUF (2025 depth #13)
Emani Bailey,Emani Bailey,RB,TRADED,CAR,KC,CAR,2026-09-05,LOW,Joined CAR — depth role,2,True,Team changed: KC (2024 depth #5) → CAR (2025 depth #5)
James Mitchell,James Mitchell,TE,TRADED,CAR,DET,CAR,2026-09-05,LOW,Joined CAR — depth role,2,True,Team changed: DET (2024 depth #3) → CAR (2025 depth #6)
Tyler Mabry,Tyler Mabry,TE,TRADED,CAR,SEA,CAR,2026-09-05,LOW,Joined CAR — depth role,2,True,Team changed: SEA (2024 depth #5) → CAR (2025 depth #7)
Case Keenum,Case Keenum,QB,TRADED,CHI,HOU,CHI,2026-09-05,LOW,Joined CHI — depth role,2,True,Team changed: HOU (2024 depth #3) → CHI (2025 depth #3)
Parris Campbell,Parris Campbell,WR,TRADED,DAL,PHI,DAL,2026-09-05,LOW,Joined DAL — depth role,2,True,Team changed: PHI (2024 depth #9) → DAL (2025 depth #8)
Sam Ehlinger,Sam Ehlinger,QB,TRADED,DEN,IND,DEN,2026-09-05,LOW,Joined DEN — depth role,2,True,Team changed: IND (2024 depth #3) → DEN (2025 depth #3)
A.T. Perry,A.T. Perry,WR,TRADED,DEN,NO,DEN,2026-09-05,LOW,Joined DEN — depth role,2,True,Team changed: NO (2024 depth #2) → DEN (2025 depth #3)
Quintin Morris,Quintin Morris,TE,TRADED,JAX,BUF,JAX,2026-09-05,LOW,Joined JAX — depth role,2,True,Team changed: BUF (2024 depth #3) → JAX (2025 depth #4)
Louis Rees-Zammit,Louis Rees-Zammit,WR,TRADED,JAX,KC,JAX,2026-09-05,LOW,Joined JAX — depth role,2,True,Team changed: KC (2024 depth #4) → JAX (2025 depth #7)
Dyami Brown,Dyami Brown,WR,TRADED,JAX,WAS,JAX,2026-09-05,LOW,Joined JAX — depth role,2,True,Team changed: WAS (2024 depth #2) → JAX (2025 depth #8)
Trenton Irwin,Trenton Irwin,WR,TRADED,JAX,CIN,JAX,2026-09-05,LOW,Joined JAX — depth role,2,True,Team changed: CIN (2024 depth #3) → JAX (2025 depth #10)
Bailey Zappe,Bailey Zappe,QB,TRADED,KC,NE,KC,2026-09-05,LOW,Joined KC — depth role,2,True,Team changed: NE (2024 depth #4) → KC (2025 depth #3)
Elijah Mitchell,Elijah Mitchell,RB,TRADED,KC,SF,KC,2026-09-05,LOW,Joined KC — depth role,2,True,Team changed: SF (2024 depth #2) → KC (2025 depth #3)
Robert Tonyan,Robert Tonyan,TE,TRADED,KC,MIN,KC,2026-09-05,LOW,Joined KC — depth role,2,True,Team changed: MIN (2024 depth #6) → KC (2025 depth #4)
Britain Covey,Britain Covey,WR,RELEASED,PHI,PHI,,2026-09-05,LOW,Depth player departed,0,True,Not in 2025 depth chart (was 2024 depth #10 on PHI)
Tyquan Thornton,Tyquan Thornton,WR,TRADED,KC,NE,KC,2026-09-05,LOW,Joined KC — depth role,2,True,Team changed: NE (2024 depth #7) → KC (2025 depth #8)
JuJu Smith-Schuster,Juju Smith-Schuster,WR,TRADED,KC,NE,KC,2026-09-05,LOW,Joined KC — depth role,2,True,Team changed: NE (2024 depth #11) → KC (2025 depth #11)
Kwamie Lassiter,Kwamie Lassiter Ii,WR,TRADED,KC,CIN,KC,2026-09-05,LOW,Joined KC — depth role,2,True,Team changed: CIN (2024 depth #11) → KC (2025 depth #14)
Chris Collier,Chris Collier,RB,TRADED,LV,BAL,LV,2026-09-05,LOW,Joined LV — depth role,2,True,Team changed: BAL (2024 depth #6) → LV (2025 depth #6)
Ian Thomas,Ian Thomas,TE,TRADED,LV,CAR,LV,2026-09-05,LOW,Joined LV — depth role,2,True,Team changed: CAR (2024 depth #1) → LV (2025 depth #3)
Qadir Ismail,Qadir Ismail,TE,TRADED,LV,BAL,LV,2026-09-05,LOW,Joined LV — depth role,2,True,Team changed: BAL (2024 depth #6) → LV (2025 depth #4)
Justin Shorter,Justin Shorter,TE,TRADED,LV,BUF,LV,2026-09-05,LOW,Joined LV — depth role,2,True,Team changed: BUF (2024 depth #7) → LV (2025 depth #6)
Shedrick Jackson,Shedrick Jackson,WR,TRADED,LV,CIN,LV,2026-09-05,LOW,Joined LV — depth role,2,True,Team changed: CIN (2024 depth #7) → LV (2025 depth #3)
Phillip Dorsett,Phillip Dorsett,WR,TRADED,LV,DEN,LV,2026-09-05,LOW,Joined LV — depth role,2,True,Team changed: DEN (2024 depth #4) → LV (2025 depth #4)
Seth Williams,Seth Williams,WR,TRADED,LV,JAX,LV,2026-09-05,LOW,Joined LV — depth role,2,True,Team changed: JAX (2024 depth #9) → LV (2025 depth #8)
Kyle Philips,Kyle Philips,WR,TRADED,LV,TEN,LV,2026-09-05,LOW,Joined LV — depth role,2,True,Team changed: TEN (2024 depth #11) → LV (2025 depth #12)
John Wolford,John Wolford,QB,TRADED,JAX,TB,JAX,2026-09-05,LOW,Joined JAX — depth role,2,True,Team changed: TB (2024 depth #3) → JAX (2025 depth #3)
Sean McKeon,Sean Mckeon,TE,TRADED,IND,DET,IND,2026-09-05,LOW,Joined IND — depth role,2,True,Team changed: DET (2024 depth #6) → IND (2025 depth #5)
Salvon Ahmed,Salvon Ahmed,RB,TRADED,IND,MIA,IND,2026-09-05,LOW,Joined IND — depth role,2,True,Team changed: MIA (2024 depth #5) → IND (2025 depth #5)
Khalil Herbert,Khalil Herbert,RB,TRADED,IND,CHI,IND,2026-09-05,LOW,Joined IND — depth role,2,True,Team changed: CHI (2024 depth #2) → IND (2025 depth #3)
Trent Sherfield,Trent Sherfield,WR,TRADED,DEN,MIN,DEN,2026-09-05,LOW,Joined DEN — depth role,2,True,Team changed: MIN (2024 depth #10) → DEN (2025 depth #9)
Kyle Allen,Kyle Allen,QB,TRADED,DET,PIT,DET,2026-09-05,LOW,Joined DET — depth role,2,True,Team changed: PIT (2024 depth #3) → DET (2025 depth #3)
Jabari Small,Jabari Small,RB,TRADED,DET,TEN,DET,2026-09-05,LOW,Joined DET — depth role,2,True,Team changed: TEN (2024 depth #5) → DET (2025 depth #5)
Jacob Saylors,Jacob Saylors,RB,TRADED,DET,NYG,DET,2026-09-05,LOW,Joined DET — depth role,2,True,Team changed: NYG (2024 depth #6) → DET (2025 depth #7)
Kenny Yeboah,Kenny Yeboah,TE,TRADED,DET,NYJ,DET,2026-09-05,LOW,Joined DET — depth role,2,True,Team changed: NYJ (2024 depth #3) → DET (2025 depth #4)
Tim Patrick,Tim Patrick,WR,TRADED,DET,DEN,DET,2026-09-05,LOW,Joined DET — depth role,2,True,Team changed: DEN (2024 depth #2) → DET (2025 depth #3)
Malik Taylor,Malik Taylor,WR,TRADED,DET,NYJ,DET,2026-09-05,LOW,Joined DET — depth role,2,True,Team changed: NYJ (2024 depth #7) → DET (2025 depth #6)
Ronnie Bell,Ronnie Bell,WR,TRADED,DET,SF,DET,2026-09-05,LOW,Joined DET — depth role,2,True,Team changed: SF (2024 depth #4) → DET (2025 depth #8)
Chris Brooks,Chris Brooks,RB,TRADED,GB,MIA,GB,2026-09-05,LOW,Joined GB — depth role,2,True,Team changed: MIA (2024 depth #6) → GB (2025 depth #4)
Tarik Black,Tarik Black,WR,TRADED,MIA,PIT,MIA,2026-09-05,LOW,Joined MIA — depth role,2,True,Team changed: PIT (2024 depth #5) → MIA (2025 depth #5)
Israel Abanikanda,Israel Abanikanda,RB,TRADED,GB,NYJ,GB,2026-09-05,LOW,Joined GB — depth role,2,True,Team changed: NYJ (2024 depth #4) → GB (2025 depth #7)
Mecole Hardman,Mecole Hardman,WR,TRADED,GB,KC,GB,2026-09-05,LOW,Joined GB — depth role,2,True,Team changed: KC (2024 depth #12) → GB (2025 depth #11)
Kedon Slovis,Kedon Slovis,QB,TRADED,HOU,IND,HOU,2026-09-05,LOW,Joined HOU — depth role,2,True,Team changed: IND (2024 depth #4) → HOU (2025 depth #4)
Irv Smith,Irv Smith,TE,TRADED,HOU,KC,HOU,2026-09-05,LOW,Joined HOU — depth role,2,True,Team changed: KC (2024 depth #4) → HOU (2025 depth #5)
Stefon Diggs,Stefon Diggs,WR,TRADED,NE,HOU,NE,2026-09-05,LOW,Joined NE — depth role,2,True,Team changed: HOU (2024 depth #2) → NE (2025 depth #5)
Xavier Johnson,Xavier Johnson,WR,TRADED,HOU,BUF,HOU,2026-09-05,LOW,Joined HOU — depth role,2,True,Team changed: BUF (2024 depth #4) → HOU (2025 depth #6)
Justin Watson,Justin Watson,WR,TRADED,HOU,KC,HOU,2026-09-05,LOW,Joined HOU — depth role,2,True,Team changed: KC (2024 depth #8) → HOU (2025 depth #9)
Christian Kirk,Christian Kirk,WR,TRADED,HOU,JAX,HOU,2026-09-05,LOW,Joined HOU — depth role,2,True,Team changed: JAX (2024 depth #1) → HOU (2025 depth #11)
Braxton Berrios,Braxton Berrios,WR,TRADED,HOU,MIA,HOU,2026-09-05,LOW,Joined HOU — depth role,2,True,Team changed: MIA (2024 depth #10) → HOU (2025 depth #13)
Zonovan Knight,Zonovan Knight,RB,RELEASED,DET,DET,,2026-09-05,LOW,Depth player departed,0,True,Not in 2025 depth chart (was 2024 depth #6 on DET)
John FitzPatrick,John Fitzpatrick,TE,TRADED,GB,ATL,GB,2026-09-05,LOW,Joined GB — depth role,2,True,Team changed: ATL (2024 depth #4) → GB (2025 depth #4)
K.J. Osborn,K.J. Osborn,WR,TRADED,WAS,NE,WAS,2026-09-05,LOW,Joined WAS — depth role,2,True,Team changed: NE (2024 depth #2) → WAS (2025 depth #12)
